birth	death	gender	hair	height	name	race	realm	spouse
	March ,3019	Male			Muzgash	Orc		
Late ,Third Age		Male			Targon	Men		
Late ,First Age	FA 460	Male			Radhruin	Men		
					Fuithluin			
TA 2780	TA 2851	Male			Walda	Men		Unnamed wife
Early ,Second Age	Early ,Second Age	Male			Valandil of Andúnië	Men		
Unknown, Awakened in the ,Years of the Trees		Male			Imin	Elves		Iminyë
FA 361	FA 455	Female	Dark brown		Andreth	Men		Loved ,Aegnor, but they never married
TA 1960	TA 2080	Male			Mardil Voronwë	Men		Unnamed wife
TA 2245	TA 2395	Male			Hador (Steward)	Men		Unnamed wife
TA 2783	FO 15	Male	Red, later White		Glóin	Dwarves		Unnamed wife
TA 2856	TA 2948	Female			Donnamira (Took) Boffin	Hobbits		Hugo Boffin
YT		Male			Rúmil (Noldo)	Elves		
Mid ,First Age		Male			Gethron	Men		
FA 500	FA 506	Male	Possibly dark		Eluréd and Elurín	Elves		
TA 2544	TA 2645	Male			Aldor	Men	Rohan	Unnamed wife
					Asgon			
TA 480	TA 748	Male			Atanatar I	Men	Gondor	Unnamed wife
 ,3019	February 293019	Male	Dark	6'1 (film)	Lugdush	Uruk-hai		
Late ,First Age	FA 455	Male			Bregolas	Men		Unnamed wife
SA 840	Mid ,Second Age	Female			Nessanië	Men		
TA 1062	TA 1272	Male			Celebrindor	Men	Arthedain	Unnamed wife
Presumably after Morgoth's return to Angband	FA 501	Male	None	Gigantic	Glaurung	Dragons		None
					Bodruith			
During the ,Noontide of Valinor	FA 587	Male	Dark red	Tall	Maedhros	Elves		None
Before the creation of ,Arda	Immortal	Male		Various	mar	Ainur		None
TA 2757	TA 2912	Male			Argonui	Men		Unnamed wife
TA 2832	TA 2930	Male			Isengrim Took III	Hobbits		Not married
TA 2600	TA 2698	Male			Ecthelion I	Men		Possibly none
TA 3009		Male			Bergil	Men		
Late-,Third Age	February 28 ,3019	Male			Gárulf	Men		
TA 2365	TA 2523	Male			Arahad I	Men		Unnamed wife
Late ,First Age	FA 460	Male			Arthad	Men		
					Bingo Baggins			
					Old Man Willow			
Late ,Third Age	March 15 ,3019	Male			Harding	Men		
FO 41		Male			Herumor (Fourth Age)	Men		
c. ,TA 2544		Male			ofor	Men		Unnamed wife
TA 2987	FO 57	Male			Elphir	Men		Unnamed wife
		Male			Orophin	Elves		
Years of the Trees	YT 1500, or ,FA 1 ,Battle of the Lammoth	Male	Possibly dark	Tall	Argon	Elves		None
					Rudibert Bolger			
Late ,Third Age		Male			othain	Men		
					Theobald Bolger			
TA 2916	March 15 ,3019	Male	Black	Tall	Halbarad	Men		
TA 2918	TA 3020	Female		1.17m (3'10")	Lobelia Sackville-Baggins	Hobbit		Otho Sackville-Baggins
TA 2772	TA 2871	Female			Berylla (Boffin) Baggins	Hobbits		Balbo Baggins
					Widow Rumble			
FA 338	FA 432	Male			Boromir (House of Bëor)	Men		Unnamed wife
					Primrose Gardner			
SA 2709	SA 2962	Male			Ar-Adûnakhôr	Men	Númenor	Unnamed wife
TA 977	TA 1226	Male			Atanatar II	Men	Gondor	Unnamed wife
SA 532		Female			Isilmë	Men		
					Everard Took			
					Halfast Gamgee			
Late ,Third Age	March 15 ,3019	Male			Black Serpent	Men		
					Hamfast Gardner			
TA 2990	FO 65	Male	Almost golden	1.34m (4'5")	Peregrin Took	Hobbits		Diamond of Long Cleeve
FA 466	FA 469	Female	Blonde		Lalaith	Men		
					Men			
					Rorimac Brandybuck			
Late ,Second Age	Late Second Age	Female			Lindórië	Men		Unknown husband
Late ,Third Age	March 15 ,3019	Male			Dúnhere	Men		
TA 2751	TA 2799	Male			Frerin	Dwarves		
Unknown, before the coming of Melkor	Unknown, possibly immortal	Male	Brown		Tom Bombadil		Old Forest	Goldberry
TA 2732	TA 2770	Male			Girion	Men		Unnamed wife
TA 1516	TA 1636	Male			Telemnar	Men	Gondor	Unnamed wife
TA 2996		Male			Minto Burrows	Hobbits		
	Before the ,War of the Ring	Male	Black	Tall	Beorn	Skin-changer		
		Male			Erestor	Elves		
Early ,First Age	FA 502	Male			Mîm	Dwarves		Unnamed wife
Between TA 2400 and ,TA 2430	TA 2463	Male	Dark-brown		Déagol	Hobbits		None
TA 2662	TA 2799	Male			Fundin	Dwarves		Unnamed wife
SR 1210		Male			Fastolph Bolger	Hobbits	Shire	Pansy Baggins
SA 3117	SA 3319	Female			Tar-Míriel	Men	Númenor	Ar-Pharazôn
April 6 ,2980	Still alive, after going to the ,Undying Lands, in ,FO 61	Male	Blond (movie)	1.22m (4'0")	Samwise Gamgee	Hobbits		Rosie Cotton
TA 726	TA 946	Male			Amlaith	Men	Arthedain	Unnamed wife
unknown	Immortal	Female		Various	Nielíqui	Ainur		None
Mid ,Third Age	TA 1944	Male			Forthwini	Men		Unknown, but possible since he had descendants
TA 2948		Male			Seredic Brandybuck	Hobbits		Hilda Bracegirdle
SR 1381	Early-,Fourth Age	Male			Merimas Brandybuck	Hobbits		
Late ,Third Age	Presumably sometime after ,TA 3019	Male			Harry Goatleaf	Men		
TA 1919	TA 2029	Male			Vorondil	Men		Unnamed wife
TA 2933	FO 13	Male			Paladin Took II	Hobbits		Eglantine Banks
Between the years ,SA 350, and SA 400	Still alive; Departed to ,Aman, in ,TA 2510	Female	Possibly silver		Celebrían	Elves		Elrond
YT, during the ,Noontide of Valinor	Still alive	Female	Reddish brown		Nerdanel	Elves		Fëanor
SA 3379	TA 2	Male			Ciryon	Men		Unknown, possibly known
TA 1928	TA 2050	Male			Eärnur	Men	Gondor	None
					Mat Heathertoes			
TA 2000		Female			Gilmith	Half-elven		
Before the creation of ,Arda	Immortal	Male			Aulë	Ainur		Yavanna
					Pervinca Took			
Unknown, possibly during the ,First Age	Unknown, possibly TA 3019	Female		Large and immense	Shelob	Great Spiders	Torech Ungol	
YT	FA 400	Male	Dark	Tall	Eöl	Elves	Nan Elmoth	Aredhel
Mid ,Third Age	July 13 ,1944	Male			Minohtar	Men		
TA 2974	November 3 ,3019	Male	Black		Gríma Wormtongue	Men		
Early ,First Age		Male			bal	Men		
Years of the Trees		Female			Findis	Elves		
YT	Unknown, probably still alive	Male	Probably Golden		Ingwion	Elf		
TA 1633	TA 1813	Male			Arveleg II	Men	Arthedain,Arnor	Unnamed wife
TA 2812	TA 2900	Male			Otto Boffin	Hobbits		Lavender Grubb
Before the creation of Arda		Male			Mandos	Ainur		Vairë
TA 87	TA 339	Male			Eldacar (King of Arnor)	Men	Arnor	Unnamed wife
SR 1308	SR 1407	Male			Saradas Brandybuck	Hobbits		
TA 2988	Early-,Fourth Age	Male			Tosto Boffin	Hobbits		
					Radbug			
					Ebor			
TA 2908	Before ,TA 3001	Male			Gorbulas Brandybuck	Hobbits		Unnamed wife
					Doderic Brandybuck			
First Age	First Age	Male			Boron	Men		Unnamed wife
Late ,Third Age	Winter of ,TA 2759	Male			Háma (Helm's son)	Men		
TA 2916	TA 3015	Male			Ferumbras III Took	Hobbits		None
		Male			Annael	Elves		
Unknown, possibly in the ,First Age		Male			Enerdhil	Elves		
					Gamil Zirak			
	March 14 ,3019, slain by ,Shagrat	Male	black	medium	Gorbag	Uruk-hai,Orc	Cirith Ungol	
Late ,Third Age	TA 3019	Male			Forlong	Men		unknown
TA 2084	TA 2247	Male			Aranuir	Men		Unnamed wife
					Pansy Baggins			
Late ,Third Age	early ,Fourth Age	Male		Tall	Erkenbrand	Men		
TA 1255	TA 1490	Male			Eldacar (King of Gondor)	Men	Gondor	Unnamed wife
	FA 465	Male			Edrahil	Elf		
Mid ,Second Age	After ,SA 1700	Male	Black	Tall	Ciryatur	Men		
Late ,Third Age		Male			Nob	Hobbits		
	February 29 ,3019	Male			Grishnákh	Orc		
After ,SA 1320	Before ,SA 1731	Male			Isilmo	Men		Unnamed wife
TA 2938		Female			Rosamunda (Took) Bolger	Men		Odovacar Bolger
Before the creation of Arda	Immortal	Male			Salmar	Ainur		
Late ,First Age	FA 460	Male			Urthel	Men		
					Fastred of Greenholm			
March 253021	Early ,Fourth Age	Female	Blonde or Golden		Elanor Gardner	Hobbits		Fastred of Greenholm
TA 372	TA 602	Male			Tarondor of Arnor	Men	Arnor	Unnamed wife
Late ,Third Age		Male	Dark		Anborn	Men		
					Angrim			
	Still alive, departed to ,Aman ,FO 120	Male	Uncertain (book), Blonde (films)		Legolas	Elves		
TA 2136	TA 2385	Male			Glóin (King of Durin's Folk)	Dwarves	Grey Mountains	Unnamed wife
TA 2459	TA 2501	Male			Léod	Men		Unnamed wife
TA 2978	February 26 ,3019	Male	Dark (book) Light brown (movie)		Boromir	Men		
					Aerandir			
SR 1182		Male			Marroc Brandybuck	Hobbit		Unnamed wife
YT		Male			Tulkastor	Elves		Unnamed wife
Before the creation of ,Arda	Did not die being a ,Maia returned to ,Valinor, after the death of her husband Thingol	Female	Dark		Melian	Ainur	Doriath	Thingol
					Uffo Boffin			
SR 1134	SR 1236	Male			Gormadoc "Deepdelver" Brandybuck	Hobbits	Buckland	Malva Headstrong
					Lily (Baggins) Goodbody			
YT		Female			Vairë (Elf)	Elves		Lindo
Before the creation of ,Arda	Immortal	Male			Eönwë	Ainur		
TA 130		Male	Dark	Tall	Elladan and Elrohir	Elves		
		Female			Adanel	Men		Belemir
March 1 ,2931	FO 120	Male	Dark	198cm (6'6")	Aragorn II Elessar	Men	Reunited Kingdom,Arnor,Gondor	Arwen
					Polo Baggins			
TA 570	TA 830	Male			Siriondil	Men	Gondor	Unnamed wife
TA 1391	TA 1621	Male			Hyarmendacil II	Men	Gondor	Unnamed wife
		Male			Gwaihir	Great Eagles		
TA 2898	TA 2977	Male	Black (films)		Bard	Men	Dale	Unnamed wife
TA 2837		Male			Nori	Dwarves		
FA 420	FA 460	Male			Baragund	Men		Unnamed wife
SA 551		Female			Lindissë	Men		
YT	Still alive, departed over the sea in the early Fourth Age	Male	Silver	Tall	Celeborn	Elves	Eregion,Lothlórien,Caras Galadhon	Galadriel
TA 2857	TA 2929	Female	Brown (film)		Ivorwen	Men		Dírhael
Fourth Age	sometime after ,FO 172	Male			Findegil	Men		
SA 1634	SA 2035	Male			Tar-Ciryatan	Men	Númenor	Unnamed wife
TA 2913	TA 3012	Female			Asphodel (Brandybuck) Burrows	Hobbit		Rufus Burrows
TA 1896		Female			Fíriel	Men	Arthedain	Arvedui
TA 2846		Male			Hob Gammidge	Hobbit		Rowan
TA 2563	TA 2719	Male			Arahad II	Men		Unnamed wife
Mid ,First Age	Late First Age	Male			Bregor	Men		Unnamed wife
Late ,Third Age		Male			Dervorin	Men		
After ,TA 1684		Male			Arciryas	Men		Unnamed wife
					Will Whitfoot			
SA 1320	SA 1731	Female			Tar-Telperiën	Men	Númenor	None
TA 2922		Female	Dark	Tall	Morwen Steelsheen	Men	Rohan	Thengel
	Presumably still alive				Elemmírë (elf)	Elves		
Before the creation of ,Arda	Immortal	Male	Dark	Any size by choice	Melkor	Ainur	Utumno,Angband,Middle-earth,Beleriand	
Late ,Third Age	March 15 ,3019	Male	Blond		Guthláf	Men		
Mid-,Third Age		Male			Vidugavia	Men	Rhovanion	Unnamed wife
TA 2807	TA 2900	Male			Mungo Baggins	Hobbits		Laura Grubb
22 September ,TA 2968	Unknown (Last sighting ,September 29 ,3021,) (,SR 1421,)	Male	Brown	1.06m (3'6")	Frodo Baggins	Hobbit		
First Age	FA 466	Male		Horse-sized	Huan	Wolfhound		
TA 2012	TA 2177	Male			Arahael	Men		Unnamed wife
Possibly before the Creation of Arda	FA 587	Male		As tall as a mountain	Ancalagon	Dragons		
YT 1200	FA 503	Female	Black		Lúthien	Elves,Maiar		Beren Erchamion
TA 2907	TA 3007	Female	Blonde (film)	Unknown (book) 1.66m (5'5") (film)	Gilraen	Men		Arathorn II
					Gundahar Bolger			
Late ,Third Age	Mid ,March ,3019	Male			Derufin	Men		
					Gorbadoc Brandybuck			
Late ,Third Age	TA 3019	Male			Duilin	Men		
TA 2860		Male			Rollo Boffin	Hobbits		Lavender Grubb
YT	YT 1497	Male			Denethor (First Age)	Elves	Ossiriand	
TA 2410	TA 2489	Male			Boromir (Steward)	Men		Unnamed wife
TA 2904	TA 3004	Female			Gerda (Boffin) Bolger	Hobbits		Adalbert Bolger
					Rudolph Bolger			
TA 2928	FO 2	Male			Adelard Took	Hobbits		Unnamed wife
Early ,Fourth Age		Male			Berelach	Men		
Mid-,Third Age		Male			Sangahyando	Men		
					Moro Burrows			
TA 2074	TA 2204	Male			Belegorn	Men		Unnamed wife
TA 2375	TA 2477	Male			Denethor I	Men		Unnamed wife
TA 2995	FO	Female	Pale gold	Tall	owyn	Men		Faramir
TA 2978	February 25 ,3019	Male			Théodred	Men		
TA 2948 ,Gondor	March 15 ,3019	Male	White with braids (book) Blonde (films)	Tall	Théoden	Men		Elfhild
	TA 1981	Male	Golden		Amroth	Elves	Lórien	Nimrodel
TA 1577	TA 1798	Male			Tarondor	Men	Gondor	Unnamed wife
					Dina Diggle			
					Barahir (Fourth Age)			
					Chica (Chubb) Baggins			
					Angelimar			
TA 2969		Male			Halfred Gamgee	Hobbits		
YT	FA 495 ,Battle of Tumhalad	Male	Golden		Orodreth	Elves	Nargothrond	Unnamed wife
TA 2913	TA 3010	Male			Bruno Bracegirdle	Hobbits		Unnamed wife
					Mimosa (Bunce) Baggins			
TA 2519		Male	Leafy-hair		Bregalad	Ents		
Before the creation of Arda	Immortal	Male			Tilion	Ainur		None
TA 2576	TA 2685	Male			Orodreth (Steward)	Men		Unnamed wife
FA 441	FA 495				Handir	Men	Brethil	Beldis
SA 799	Early ,Second Age	Male			Soronto	Men		None
Fourth Age		Male			Saelon	Men		
					Lalia (Clayhanger) Took			
SA 700	SA 1098	Male			Tar-Aldarion	Men	Númenor	Erendis
		Male			Rufus Burrows	Hobbit		Asphodel Brandybuck
		Female			Hanna (Goldworthy) Brandybuck	Hobbit		Madoc Brandybuck
		Male			Meneldor	Eagles		
		Female			Almarian	Men	Númenor	Tar-Meneldur
	FA 465	Male			Draugluin	Werewolves		
TA 1126	TA 1366	Male			Rómendacil II	Men	Gondor	Unnamed wife
					Nahar	Horse		
YT, 1050. Age = 11,484.9 Sun Years or 1,198.6 Valian Years as of FO 121 (death of Arwen).	Still alive, sailed into the ,West, sometime during the ,Fourth Age last of all elves to leave ,Middle-earth,.	Male	Silver, bearded	Very tall	Círdan	Elves		Presumably none
		Female			Nellas	Elves		None
TA 2849	Late ,Third Age	Male			Rowan Greenhand	Hobbits	Shire	Belba Baggins
Late ,First Age	FA 473	Male			Borthand	Men		
Before the creation of ,Arda	Immortal	Female			Arien	Ainur		None
SA 2406	SA 2737	Male			Tar-Alcarin	Men	Númenor	Unnamed wife
Mid-,Third Age	Mid-,Third Age	Male			Húrin of Emyn Arnen	Men		
					Haldad			
TA 2985	Early ,Fourth Age	Male	Dark		Elfhelm	Men		
TA 2860	TA 2960	Female			Mirabella (Took) Brandybuck	Hobbits		Gorbadoc Brandybuck
					Sandyman			
TA 2854	TA 2945	Male			Hugo Boffin	Hobbits		Donnamira Took
TA 48	TA 324	Male			Eärendil of Gondor	Men	Gondor	Unnamed wife
Late ,First Age	FA 473	Male			Borlad	Men		Unnamed wife
TA 2858	TA 2885	Male			Folcred	Men		
Late ,Third Age		Male			Golasgil	Men		
Late ,First Age	FA 473	Male			Hundar	Men		Unnamed wife
Late ,Third Age	Late Third Age	Male			Nár	Dwarves		
					Wilcome Cotton			
Late ,Third Age	Late ,Third Age	Male			Buffo Boffin	Hobbits		Ivy Goodenough
Unknown, before ,TA 2700	TA 2747	Male			Golfimbul	Orc,Goblin	Mount Gram	None
					Cora Goodbody			
SA 395		Male			Axantur	Men		Unnamed wife
	TA 2799	Male	none	8'5	Azog	Orcs	Moria,Mount Gundabad	
TA 2668	TA 2741	Male			Gram	Men	Rohan	Unnamed wife
TA 2890	TA 2941	Male	Auburn (film)	Tall (6'4")	Master of Laketown	Men	Lake-town	
Late ,Second Age	Sailed West either SA 3310 fate unknown	Male			Amandil	Men		Unnamed wife
TA 2999		Female			Lothíriel	Men	Rohan	omer
					Largo Baggins			
Late ,Third Age	Early ,TA 3019	Male			Willie Banks	Hobbits	Bree	
Late ,First Age		Male			Larnach	Men		Unnamed wife
		Male			Galdor of the Tree	Elves		
					Myrtle Burrows			
TA 1330	TA 1540	Male			Aldamir	Men	Gondor	Unnamed wife
TA 2746	November 23, TA 2941	Male			Thorin II Oakenshield	Dwarves	Ered Luin	
		Male			Rúmil of Lórien	Elves		
TA 2827		Male	Gray (film)		Dori	Dwarves		
Second Age		Male			Herumor	Men		
Perhaps ,Firstborn					Nurwë	Elves		
TA 2165	TA 2278	Male			Túrin I	Men		Unnamed wife
FA 472	None; sailed into the West and was accounted amongst the Eldar	Male	Golden	Tall	Tuor	Men		Idril Celebrindal
					Salvia (Brandybuck) Bolger			
TA 2942	FO 22	Male	Brown (movie)		Filibert Bolger	Hobbits		Poppy Chubb-Baggins
TA 2920	TA 2980	Female			Primula (Brandybuck) Baggins	Hobbits		Drogo Baggins
c. T.A. 2328		Female			Rían (Gondor)	Men		Unnamed husband
Before the creation of Arda		Male			Alatar	Ainur,Maiar		None
Mid-,Third Age		Male			Angamaitë	Men		
Late ,Third Age	TA 2994	Male			Náli	Dwarves		
Late ,Third Age	March 15 ,3019	Male			Déorwine	Men		
Before the creation of ,Arda	Immortal	Male			Ulmo	Ainur	Valinor,Ulmonan	None
					Amlach			
Late ,Third Age		Female			Ioreth	Men		
3019	February 293019	Male	Dark (movie)	6' 6" (movie)	Uglúk	Uruk-hai	Isengard	None
Before the creation of ,Arda	First Age	Male	Mane of red flame		Lungorthin	Balrog		
FA 406		Female			Emeldir	Men		Barahir
SA 1474	SA 1873	Male			Tar-Minastir	Men	Númenor	Unnamed wife
TA 2950	TA 2988	Female	Dark		Finduilas of Dol Amroth	Men		Denethor II
Between ,SA 700, and ,SA 750	Early ,Second Age	Female			Almiel	Men		
	FA 486	Male			Khîm	Dwarves		
YT	SA 1697 ,War of the Elves and Sauron	Male	Dark		Celebrimbor	Elves	Eregion	
FA 419		Female			Hareth	Men		Galdor
YT	FA 484	Male			Saeros	Elves		
Before ,TA 1944	Late ,Third Age	Male			Adrahil I	Men		
	TA 2941	Male	None	8,4  Body weight = 190kg	Bolg	Goblin,Orc		
Before ,TA 1255	TA 1344	Female			Vidumavi	Men		Valacar
YT	TA 1981	Female	Possibly golden		Nimrodel	Elves		Loved ,Amroth
TA 2594	TA 2680	Male			Fréawine	Men	Rohan	
Third Age, or before		Male	None	About 13'	Tom, Bert, and William	Stone-trolls		None
FO 8	FO 103	Male			Elfwine	Men	Rohan	
TA 1632	TA 1850	Male			Telumehtar	Men	Gondor	Unnamed wife
TA 2560	TA 2803	Male			Farin	Dwarves		Unnamed wife
	Presumably still alive	Male			Gilfanon	Elves		
TA 2644	TA 2718	Male			Déor	Men,Rohirrim	Rohan	
Mid ,Third Age	TA 1944	Male			Faramir (son of Ondoher)	Men		
Before the creation of Arda	Immortal	Female			Vairë	Ainur	Valinor,Halls of Mandos	Mandos
TA 2897	Late ,Third Age	Female			Jessamine (Boffin) Bolger	Hobbits		Herugar Bolger
TA 2866	TA 2977	Male			Angelimir	Men		Unnamed wife
